Дата,Стоимость портфеля,Вложено,PnL $,PnL %,Резерв,Кол-во позиций,Тип точки,Заметка,Триггер,Источник,Комментарий
31.03.2026,"399,0","388,3","10,8","2,8%",245,9,ручной снимок,первая точка истории,стартовая точка,вручную,первый сохранённый снимок
02.04.2026,"388,5","388,3","0,2","0,1%",245,9,ручной снимок,вторая точка истории,вторая точка теста,вручную,второй сохранённый снимок
06.04.2026,"394,1","388,3","5,8","1,5%",245,9,ручной снимок,третья точка истории,третья точка теста,вручную,третий сохранённый снимок
10.04.2026,"396,3","388,3","8,0","2,1%",245,9,ручной снимок,четвертая точка истории,четвертая точка теста,вручную,четвертый сохранённый снимок
11.04.2026,"398,8","388,3","10,5","2,7%",245,9,ручной снимок,пятая точка истории,пятая точка теста,вручную,пятый сохранённый снимок
15.04.2026,"401,7","388,3","13,4","3,5%",245,9,ручной снимок,6,6,вручную,6
16.04.2026,"429,0","412,4","16,6","4,3%",245,10,ручной снимок,7,7,вручную,7
18.04.2026,"435,2","419,4","15,7","3,8%","252,9",12,ручной снимок,8,8,вручную,8
22.04.2026,"438,1","419,4","18,6","4,4%","252,9",12,ручной снимок,9,9,вручную,9
25.04.2026,"434,9","419,4","15,5","3,7%","252,9",12,ручной снимок,1,1,вручную,1
,,,,,,,,,,,
18.05.2026,"438,9","419,4","19,5","11,7%","252,9",12,текущая строка,текущее состояние,живое отслеживание,живой,текущая живая строка
