portfolioValue,invested,pnl,pnlPct,reserve,positionsCount,,health,state,signal,action,,Spot Invested,"419,43",,Лучшая позиция,TON
"439,1","419,4","19,7","11,80%","252,9",12,,"82,00",Хорошо,Кэш выше среднего - есть запас для добора,Можно добирать активы по стратегии,,Spot Current,"439,0833098",,PnL лучшей,"22,6825705"
,,,,,,,,,,,,Futures Margin,"38,96",,Худшая позиция,BTC SHORT
,,,,,,,,,,,,Futures Current,"37,4346164",,PnL худшей,"12,59395449"
Топ позиция 1,Топ позиция 2,Топ позиция 3,,,,,,,,,,Futures PnL,"-1,525383595",,,
ETH,BTC,TON,,,,,,,,,,Total Invested,"458,4",,,
"12,86%","7,8%","5,2%",,,,,,,,,,Portfolio Today,"476,5",,,
"56,5","34,2","22,7",,,,,,,,,,Total PnL,"18,13",,,
Accumulate,Accumulate,Watch,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Структура по категориям,Сумма,Доля %,,,,,,,,,,,,,,
Крипта,165,"37,6%",,,,,,,,,,,,,,
Акции,0,"0,0%",,,,,,,,,,,,,,
Металлы,8,"1,9%",,,,,,,,,,,,,,
Фьючерсы,13,"2,9%",,,,,,,,,,,,,,
Кэш / Стейблы,253,"57,6%",,,,,,,,,,,,,,
