asset,ticker,category,quantity,avgEntry,invested,currentPrice,currentValue,pnl,pnlPct,share,status
BTC,BTC,Крипта,"0,0004367",68200,"29,78","78251,50","34,2","4,39","14,74%","7,79%",Accumulate
ETH,ETH,Крипта,"0,025807",1921,"49,58","2187,45","56,5","6,88","13,87%","12,86%",Accumulate
TON,TON,Крипта,"11,63","1,33","15,47","1,94","22,6","7,11","45,97%","5,14%",Watch
SOL,SOL,Крипта,"0,16938","90,0","15,24","86,61","14,7","-0,57","-3,77%","3,34%",Accumulate
BNB,BNB,Крипта,"0,016556","594,0","9,83","654,12","10,8","1,00","10,12%","2,47%",Watch
TIA,TIA,Крипта,"24,644","0,32","7,89","0,39","9,6","1,71","21,66%","2,19%",Watch
APEX,APEX,Крипта,"26,10308","0,29","7,57","0,28","7,4","-0,17","-2,31%","1,68%",Watch
MNT,MNT,Крипта,"14,53190601","0,55","7,92","0,64","9,4","1,43","18,09%","2,13%",Watch
USDT,USDT,Кэш / Стейблы,245,1,"245,00","1,00","245,0","0,00","0,00%","55,82%",Reserve
USDC,USDC,Кэш / Стейблы,"7,9",1,"7,90","1,00","7,9","0,00","0,00%","1,80%",Reserve
GOLD LONG,GOLD-PERP,Металлы,"0,003282490805",4377,"7,86","4527,05","8,4","0,51","6,49%","1,91%",Hedge
BTC SHORT,BTC-PERP,Фьючерсы,"0,0003506642045",71018,"15,39","78251,50","12,6","-2,79","-18,16%","2,87%",Speculation
