Актив,Категория,Количество,Средняя входа,Вложено,Текущая цена,Текущая стоимость,PnL $,PnL %,Доля %,,Показатель,Значение
BTC,Крипта,"0,00044",68200,"29,78","78251,500","34,17243005","4,39","14,74%","7,79%",,Стоимость портфеля,"$438,91"
ETH,Крипта,"0,02581",1921,"49,58","2187,450","56,45152215","6,88","13,87%","12,86%",,Вложено,"$419,43"
TON,Крипта,"11,63000","1,33","15,47","1,941","22,5790635","7,11","45,97%","5,14%",,PnL $,"$19,48"
SOL,Крипта,"0,16938","90,0","15,24","86,612","14,67025587","-0,57","-3,77%","3,34%",,PnL %,"4,64%"
BNB,Крипта,"0,01656",594,"9,83","654,115","10,82952794","1,00","10,12%","2,47%",,Резерв,"$252,90"
TIA,Крипта,"24,64400","0,32","7,89","0,389","9,5939092","1,71","21,66%","2,19%",,Крипта,"$165,04"
APEX,Крипта,"26,10308","0,29","7,57","0,283","7,39539411","-0,17","-2,31%","1,68%",,Металлы,"$8,37"
MNT,Крипта,"14,53191","0,55","7,92","0,644","9,352589389","1,43","18,09%","2,13%",,Фьючерсы,"$12,60"
USDT,Кэш / Стейблы,"245,00000",1,"245,00","1,000",245,"0,00","0,00%","55,82%",,,
USDC,Кэш / Стейблы,"7,90000",1,"7,90","1,000","7,9","0,00","0,00%","1,80%",,,
GOLD LONG,Металлы,"0,00328",4377,"7,86","4527,050","8,370476158","0,51","6,49%","1,91%",,,
BTC SHORT,Фьючерсы,"0,00035",71018,"15,39","78251,500","12,59511363","-2,79","-18,16%","2,87%",,,
