Метрики,Значение,Статус,Комментарий,Signal,
Стоимость портфеля,439,Актуально,Текущая общая стоимость портфеля,,
Резерв,253,Актуально,Доступный резерв в стейблах,,
Доля резерва,"57,6%",Контроль,"Доля портфеля, которая находится в кэше",,
Свободный кэш для добора,"121,2",Правило,"Кэш, который можно использовать без нарушения правила резерва",,Правило бюджетного резерва  =  минимальный остаток 30%
Крупнейший рисковый актив,ETH,Актуально,Самый большой актив без учета кэша,,
Доля крупнейшего рискового актива,"12,9%",Контроль,Доля самого большого актива,,
Доля крипты,"37,60%",Контроль,Общая доля крипты в портфеле,,
Здоровье портфеля %,"82,00",,"Единый показатель здоровья портфеля на основе резерва, концентрации и доли крипты",,
Уровень риска,Хорошо,Контролировать риск профиль,Короткий уровень состояния портфеля,,"если кэша меньше 15% - High
если кэша меньше 30% - Elevated
если 30% и выше - Moderate"
Основной сигнал по портфелю,Кэш выше среднего - есть запас для добора,Сигнал,Главный текущий сигнал по структуре портфеля,,
Общий вывод,Структура защитная - кэш выше цели,,,,
,,,,,
Целевая доля резерва,30%,Цель,"Минимальная доля кэша, которую нужно сохранять",,
Максимум на одну позицию,35%,Лимит,Максимально допустимая доля одной позиции,,
Целевая доля крипты,60%,Цель,Желаемая доля крипты в общем портфеле,,
Отклонение резерва,28%,Отклонение,"Показывает, выше или ниже ты целевого резерва",OK,
Отклонение крупнейшей позиции,-22%,Отклонение,"Показывает, перегружена ли самая крупная позиция",OK,
Отклонение доли крипты,-22%,Отклонение,"Показывает, выше или ниже текущая доля крипты цели",OK,
,,,,,
Диверсификация,91,,Штрафуем за слишком крупный крупнейший актив.,,
Гибкость,84,,"Оцениваем, насколько близок резерв к удобной зоне 50%.",,
Покупательская сила,66,,Смотрим свободный кэш для добора относительно портфеля.,,
Фьючерсная дисциплина,75,,Штрафуем за долю фьючерсов в портфеле.,,
Мани-менеджмент,84,,"Собираем общий контроль по резерву, крупнейшей позиции и доле крипты.",,
