Дата,Актив,Категория,Действие,Количество,Цена,Сумма,Комментарий
23.03.2026,BTC,Крипта,Покупка,"0,00044",68 200,30,Первая покупка BTC
23.03.2026,ETH,Крипта,Покупка,"0,0258",1 921,50,Первая покупка ETH
23.03.2026,TON,Крипта,Покупка,"11,63","1,33",15,Первая покупка TON
23.03.2026,SOL,Крипта,Покупка,"0,1694",90,15,Первая покупка SOL
23.03.2026,BNB,Крипта,Покупка,"0,0166",594,10,Первая покупка BNB
23.03.2026,TIA,Крипта,Покупка,"24,6","0,32",8,Первая покупка TIA
23.03.2026,APEX,Крипта,Покупка,"26,1","0,29",8,Первая покупка APEX
13.03.2026,MNT,Крипта,Покупка,"14,5","0,55",8,Первая покупка MNT
07.03.2026,USDT,Кэш / Стейблы,Резерв,245,1,245,Текущий свободный резерв
17.04.2026,USDC,Кэш / Стейблы,Резерв,"7,9",1,"7,9",Текущий свободный резерв
